Title,Description
Treatise on Cats.,"This manuscript containing fine paintings of cats is in the format of a samut khoi (Thai folding book) with 12 folios, which open from top to bottom. It was produced in the 19th century in central Thailand. Folding books were usually made from the bark of mulberry trees; minerals, plant liquids, and occasionally materials imported from China and Europe were used as paints. Sometimes..."
[Cat],1 drawing : ink and watercolor. | Ukiyo-e drawing showing a cat.
Cats,1 print : tinted lithograph ; sheet 48.5 x 57.3 cm. | Print shows the faces and front paws of two sleeping cats.
The boxing cats (Prof. Welton's),Professor Welton presents an amusing fight between two trained cats wearing boxing gloves.
The black cat,1 print : engraving. | Black cat on head of woman.
Domestic cat,"1 drawing : ink ; 6.1 x 9 (image), 13.7 x 19.2 cm (sheet) | Drawing shows a Japanese Bobtail cat, full-length, standing, facing left."
How did cats become domesticated?,"Domesticated cats all come from wildcats called Felis silvestris lybica that originated in the Fertile Crescent in the Near East Neolithic period and in ancient Egypt in the Classical period. National Photo Co. Woman holding cat. 1926. Prints & Photographs Division, Library of Congress. According to a recent study by Claudio Ottoni, cat domestication took … Continue reading “How did cats become domesticated?”"
"Poem 061:
        

        
            
                
                    
                    Sister Cat",
Cat and kittens,"1 print : chromolithograph ; sheet 31.6 x 22.3 cm. | Print shows a cat with three kittens at a green food or water dish, with a basket of straw in a room where the floor is also strewn with straw."
"Poem 116:
        

        
            
                
                    
                    Cat Scat",
The cat - Felis domesticus,"1 print : color lithograph ; sheet 27.9 x 35.6 cm. | Print shows a left side view of a domestic cat, full-length, lying down, faceing front, with one paw resting on a ball of yarn; also shows ""eye in sunlilght"" and ""eye at night"", ""teeth of cat family"", ""tongue of cat family"", ""claw drawn back"", and ""claw thrust out""."
Wild Cat Blues,"“Wild Cat Blues”--Clarence Williams' Blue Five (1923) Added to the National Registry: 2015 Essay by Thomas L. Morgan (guest post)* Clarence Williams Clarence Williams was the most successful African American music publisher of his time. He blazed a trail of entrepreneurship in the American recording industry that was unmatched. Highly energetic and adept at all sides of the music business from writing, publishing, and..."
[A cat],1 drawing : pencil.
The Cat,1 photomechanical print : photogravure.
"The Black Cat, December","1 print : color ; sheet 30 x 24 cm (poster format) | Poster shows a black cat wearing a collar with a ""5 cents"" charm as the cover illustration for The Black Cat for December."
Black cat,1 print : cardboard cut-out with orange tinting ; irregular sheet 28 x 25 cm.
[Two cats],1 print (poster) : color.
Mouser Cat's story,Also available in digital form on the Library of Congress Web site.
Study of a cat,"1 photographic print : gelatin silver. | Photograph shows close-up portrait of a cat, possibly one of the cats that Arnold Genthe called Buzzer."
Cats as Pets: Historical Literature,"This guide highlights books, periodicals, and other resources from the 19th and early 20th centuries on the subject of cats as pets. Recommendations for contemporary resources on the history of cats as household companion animals are also included."
[Mother cat and kittens],"1 print : wood engraving ; 5.2 x 7.2 cm (image), 10.4 x 12.9 cm (sheet) | Print shows a cat with three kittens."
[Domestic cat],"1 drawing : ink ; 6.1 x 9.2 (image), 7.8 x 11.2 cm (sheet)"
"""Nervous Cats""",1 drawing.
Cats posed in pots,"6 photographic prints on stereo cards : stereograph, albumen ; 9 x 18 cm. | Photographs show a series of humorous photographs of cats posed with props."
Nashville Cats!,"According to the song “Nashville Cats” by the Lovin’ Spoonful, there are “thirteen-hundred and fifty-two guitar pickers in Nashville.”  I wouldn’t question that number, but in fact I suspect it has increased dramatically since that song debuted in 1966. As my colleague Lindsay Conway wrote about in her blog post Music City 101:  NLS Heads …"
Fat cat,1 drawing.
Rough on cats,"1 photomechanical print : offset, color. | Illustration shows Theodore Roosevelt delivering a jolt of electric current through wires spelling ""Presidential Message"" to two cats labeled ""House"" and ""Senate"" asleep on a wall."
Elliott Cates Collection,"Lieutenant Junior Grade, Navy, Korean War, 1950-1953 - Virginia; Korea; Japan."
[Black cat in garden],"1 drawing : watercolor, gouache, and ink over graphite underdrawing. | Drawing shows a black cat walking stealthily through a garden full of brightly colored flowers."
Emmons cat [woman and cat],1 negative : glass ; 5 x 7 in.
Hon[orable Mr] cat,"1 print on white wove tissue paper : woodcut, color ; 21.7 x 9.6 cm. (block), 26.8 x 19.2 cm. (sheet) | Print shows a young Japanese girl carrying a cat, walking in the rain under an umbrella held by an adult."
Why and how do cats purr?,"No one knows for sure why a domestic cat purrs, but many people interpret the sound as one of contentment. Our understanding of how a domestic cat purrs is becoming more complete; most scientists agree that the larynx (voice box), laryngeal muscles, and a neural oscillator are involved. Woman with a Cat, Auguste Renoir, c. … Continue reading “Why and how do cats purr?”"
Yard of cats,1 print : chromolithograph ; sheet 92 x 122 cm. or less.
Yard of cats,1 print : chromolithograph ; sheet 92 x 122 cm. or less.
"[Cat, curled up]",1 drawing : charcoal.
How do cats communicate with each other?,"Cats have different ways of communicating with other cats and with humans. Cats communicate vocally (meowing, purring, and hissing) and with their bodies and behavior. Frances Benjamin Johnston’s cats, Herman and Vermin, seated on brick railing of New Orleans house, Louisiana. Frances Benjamin Johnston, photographer, between 1945-1950. Prints & Photographs Division, Library of Congress. For … Continue reading “How do cats communicate with each..."
"The Black Cat, March, 1896",1 print : color ; sheet 23 x 15 cm (poster format) | Poster shows a rabbit and black cat playing banjos together as the cover illustration for The Black Cat for March.
[ Pinocchio: The Cat. Grey cat suit.],"Costume Designs. 1 rendering 6 in X 9 in | Over 1,900 designs in color and black and white representing more than 160 productions in 13 cities. The majority of the designs were drawn for New York, NY, presentations. About 60 designers, many of whom signed their work."
[Cats with cauldron],1 print : chromolithograph ; sheet 92 x 122 cm. or less.
"The Black Cat, October, 1895","1 print : color ; sheet 23 x 16 cm (poster format) | Poster shows a young woman sitting on a half moon, crowing a black cat with a laurel wreath as the cover illustration for The Black Cat for October."
[Cats at play],1 transparency : glass ; 8 x 10 in.
