Date,Venue,Location
"JUL 11, 2024",John Cain Arena,"Melbourne, AUS"
"JUL 13, 2024",Fortitude Music Hall,"Brisbane, AUS"
"JUL 14, 2024",Fortitude Music Hall,"Brisbane, AUS"
"JUL 17, 2024",ICC Sydney Theatre,"Sydney, AUS"
"JUL 19, 2024",Spin Off Festival,"Adelaide, AUS"
"SEP 19, 2024",Armory,"Minneapolis, MN"
"SEP 21, 2024",Michigan Lottery Amphitheatre At Freedom Hill,"Sterling Heights, MI"
"SEP 23, 2024",Budweiser Stage,"Toronto, ON"
"SEP 25, 2024",MGM Music Hall At Fenway,"Boston, MA"
"SEP 26, 2024",MGM Music Hall At Fenway,"Boston, MA"
"SEP 30, 2024",Madison Square Garden,"New York, NY"
"OCT 1, 2024",Highmark Skyline Stage At The Mann,"Philadelphia, PA"
"OCT 3, 2024",Red Hat Amphitheater,"Raleigh, NC"
"OCT 4, 2024",Cadence Bank Amphitheatre At Chastain Park,"Atlanta, GA"
"OCT 6, 2024",Everwise Amphitheater At White River State Park,"Indianapolis, IN"
"OCT 11, 2024",The Chelsea At Cosmopolitan Of Las Vegas,"Las Vegas, NV"
"OCT 13, 2024",Alaska Airlines' Theater Of The Clouds,"Portland, OR"
"OCT 15, 2024",WAMU Theater,"Seattle, WA"
"OCT 17, 2024",Bill Graham Civic Auditorium,"San Francisco, CA"
"OCT 18, 2024",Kia Forum,"Inglewood, CA"
"OCT 20, 2024",Arizona Financial Theatre,"Phoenix, AZ"
"OCT 23, 2024",Smart Financial Centre,"Sugar Land, TX"
"OCT 25, 2024",Moody Center ATX,"Austin, TX"
"OCT 26, 2024",Dickies Arena,"Fort Worth, TX"
"NOV 2, 2024",AFAS Live,"Amsterdam, NL"
"NOV 3, 2024",AFAS Live,"Amsterdam, NL"
"NOV 4, 2024",Forest National,"Brussels, BE"
"NOV 5, 2024",Zénith Paris La Villette,"Paris, FR"
"NOV 7, 2024",O2 Apollo,"Manchester, UK"
"NOV 8, 2024",O2 Apollo,"Manchester, UK"
"NOV 10, 2024",OVO Arena Wembley,"London, UK"
